#ies_format_version: 1.0
#file: 20250801_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	iec_in;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	iec_out;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	iec_in;	iec_out
20250801;	125950;	1754033390.000;	        err9;	        err9
20250801;	125955;	1754033395.000;	        err9;	        err9
20250801;	130000;	1754033400.000;	        err9;	        err9
20250801;	130005;	1754033405.000;	        err9;	        err9
20250801;	130010;	1754033410.000;	        err9;	        err9
20250801;	130015;	1754033415.000;	        err9;	        err9
20250801;	130020;	1754033420.000;	        err9;	        err9
20250801;	130025;	1754033425.000;	        err9;	        err9
20250801;	130030;	1754033430.000;	        err9;	        err9
20250801;	130035;	1754033435.000;	        err9;	        err9
20250801;	130040;	1754033440.000;	        err9;	        err9
20250801;	130045;	1754033445.000;	        err9;	        err9
20250801;	130050;	1754033450.000;	        err9;	        err9
20250801;	130055;	1754033455.000;	        err9;	        err9
20250801;	130100;	1754033460.000;	        err9;	        err9
20250801;	130105;	1754033465.000;	        err9;	        err9
20250801;	130110;	1754033470.000;	        err9;	        err9
20250801;	130115;	1754033475.000;	        err8;	        err8
20250801;	130120;	1754033480.000;	        err9;	        err9
20250801;	130125;	1754033485.000;	        err9;	        err9
20250801;	130130;	1754033490.000;	        err9;	        err9
20250801;	130135;	1754033495.000;	        err9;	        err9
20250801;	130140;	1754033500.000;	        err9;	        err9
20250801;	130145;	1754033505.000;	        err9;	        err9
20250801;	130150;	1754033510.000;	        err9;	        err9
20250801;	130155;	1754033515.000;	        err9;	        err9
20250801;	130200;	1754033520.000;	        err9;	        err9
20250801;	130205;	1754033525.000;	        err9;	        err9
20250801;	130210;	1754033530.000;	        err9;	        err9
20250801;	130215;	1754033535.000;	        err9;	        err9
20250801;	130220;	1754033540.000;	        err9;	        err9
20250801;	130225;	1754033545.000;	        err9;	        err9
20250801;	130230;	1754033550.000;	        err9;	        err9
20250801;	130235;	1754033555.000;	        err9;	        err9
20250801;	130240;	1754033560.000;	        err9;	        err9
20250801;	130245;	1754033565.000;	        err9;	        err9
20250801;	130250;	1754033570.000;	        err9;	        err9
20250801;	130255;	1754033575.000;	        err9;	        err9
20250801;	130300;	1754033580.000;	        err9;	        err9
20250801;	130305;	1754033585.000;	        err9;	        err9
20250801;	130310;	1754033590.000;	        err9;	        err9
20250801;	130315;	1754033595.000;	        err9;	        err9
20250801;	130320;	1754033600.000;	        err8;	        err8
20250801;	130325;	1754033605.000;	        err9;	        err9
20250801;	130330;	1754033610.000;	        err9;	        err9
20250801;	130335;	1754033615.000;	        err9;	        err9
20250801;	130340;	1754033620.000;	        err9;	        err9
20250801;	130345;	1754033625.000;	        err9;	        err9
20250801;	130350;	1754033630.000;	        err9;	        err9
20250801;	130355;	1754033635.000;	        err9;	        err9
20250801;	130400;	1754033640.000;	        err9;	        err9
20250801;	130405;	1754033645.000;	        err9;	        err9
20250801;	130410;	1754033650.000;	        err9;	        err9
20250801;	130415;	1754033655.000;	        err9;	        err9
20250801;	130420;	1754033660.000;	        err9;	        err9
20250801;	130425;	1754033665.000;	        err9;	        err9
20250801;	130430;	1754033670.000;	        err9;	        err9
20250801;	130435;	1754033675.000;	        err9;	        err9
20250801;	130440;	1754033680.000;	        err9;	        err9
20250801;	130445;	1754033685.000;	        err9;	        err9
20250801;	130450;	1754033690.000;	        err9;	        err9
20250801;	130455;	1754033695.000;	        err9;	        err9
20250801;	130500;	1754033700.000;	        err9;	        err9
20250801;	130505;	1754033705.000;	        err9;	        err9
20250801;	130510;	1754033710.000;	        err9;	        err9
20250801;	130515;	1754033715.000;	        err9;	        err9
20250801;	130520;	1754033720.000;	        err9;	        err9
20250801;	130525;	1754033725.000;	        err9;	        err9
20250801;	130530;	1754033730.000;	        err9;	        err9
20250801;	130535;	1754033735.000;	        err9;	        err9
20250801;	130540;	1754033740.000;	        err9;	        err9
20250801;	130545;	1754033745.000;	        err9;	        err9
20250801;	130550;	1754033750.000;	        err9;	        err9
20250801;	130555;	1754033755.000;	        err9;	        err9
20250801;	130600;	1754033760.000;	        err9;	        err9
20250801;	130605;	1754033765.000;	        err9;	        err9
20250801;	130610;	1754033770.000;	        err9;	        err9
20250801;	130615;	1754033775.000;	        err9;	        err9
20250801;	130620;	1754033780.000;	        err9;	        err9
20250801;	130625;	1754033785.000;	        err8;	        err8
20250801;	130630;	1754033790.000;	        err9;	        err9
20250801;	130635;	1754033795.000;	        err9;	        err9
20250801;	130640;	1754033800.000;	        err9;	        err9
20250801;	130645;	1754033805.000;	        err9;	        err9
20250801;	130650;	1754033810.000;	        err9;	        err9
20250801;	130655;	1754033815.000;	        err9;	        err9
20250801;	130700;	1754033820.000;	        err9;	        err9
20250801;	130705;	1754033825.000;	        err9;	        err9
20250801;	130710;	1754033830.000;	        err9;	        err9
20250801;	130715;	1754033835.000;	        err9;	        err9
20250801;	130720;	1754033840.000;	        err9;	        err9
20250801;	130725;	1754033845.000;	        err9;	        err9
20250801;	130730;	1754033850.000;	        err9;	        err9
20250801;	130735;	1754033855.000;	        err9;	        err9
20250801;	130740;	1754033860.000;	        err9;	        err9
20250801;	130745;	1754033865.000;	        err9;	        err9
20250801;	130750;	1754033870.000;	        err9;	        err9
20250801;	130755;	1754033875.000;	        err9;	        err9
20250801;	130800;	1754033880.000;	        err9;	        err9
20250801;	130805;	1754033885.000;	        err9;	        err9
20250801;	130810;	1754033890.000;	        err9;	        err9
20250801;	130815;	1754033895.000;	        err9;	        err9
20250801;	130820;	1754033900.000;	        err9;	        err9
20250801;	130825;	1754033905.000;	        err9;	        err9
20250801;	130830;	1754033910.000;	        err8;	        err8
20250801;	130835;	1754033915.000;	        err9;	        err9
20250801;	130840;	1754033920.000;	        err9;	        err9
20250801;	130845;	1754033925.000;	        err9;	        err9
20250801;	130850;	1754033930.000;	        err9;	        err9
20250801;	130855;	1754033935.000;	        err9;	        err9
20250801;	130900;	1754033940.000;	        err9;	        err9
20250801;	130905;	1754033945.000;	        err9;	        err9
20250801;	130910;	1754033950.000;	        err9;	        err9
20250801;	130915;	1754033955.000;	        err9;	        err9
20250801;	130920;	1754033960.000;	        err9;	        err9
20250801;	130925;	1754033965.000;	        err9;	        err9
20250801;	130930;	1754033970.000;	        err9;	        err9
20250801;	130935;	1754033975.000;	        err9;	        err9
20250801;	130940;	1754033980.000;	        err9;	        err9
20250801;	130945;	1754033985.000;	        err9;	        err9
20250801;	130950;	1754033990.000;	        err9;	        err9
20250801;	130955;	1754033995.000;	        err9;	        err9
20250801;	131000;	1754034000.000;	        err9;	        err9
20250801;	131005;	1754034005.000;	        err9;	        err9
20250801;	131010;	1754034010.000;	        err9;	        err9
20250801;	131015;	1754034015.000;	        err9;	        err9
20250801;	131020;	1754034020.000;	        err9;	        err9
20250801;	131025;	1754034025.000;	        err9;	        err9
20250801;	131030;	1754034030.000;	        err9;	        err9
20250801;	131035;	1754034035.000;	        err8;	        err8
20250801;	131040;	1754034040.000;	        err9;	        err9
20250801;	131045;	1754034045.000;	       err32;	       err32
20250801;	131050;	1754034050.000;	       err32;	       err32
20250801;	131055;	1754034055.000;	       err32;	       err32
20250801;	131100;	1754034060.000;	       err32;	       err32
20250801;	131105;	1754034065.000;	       err32;	       err32
20250801;	131110;	1754034070.000;	       err32;	       err32
20250801;	131115;	1754034075.000;	       err32;	       err32
20250801;	131120;	1754034080.000;	       err32;	       err32
20250801;	131125;	1754034085.000;	       err32;	       err32
20250801;	131130;	1754034090.000;	       err32;	       err32
20250801;	131135;	1754034095.000;	       err32;	       err32
20250801;	131140;	1754034100.000;	       err32;	       err32
20250801;	131145;	1754034105.000;	       err32;	       err32
20250801;	131150;	1754034110.000;	       err32;	       err32
20250801;	131155;	1754034115.000;	       err32;	       err32
20250801;	131200;	1754034120.000;	       err32;	       err32
20250801;	131205;	1754034125.000;	       err32;	       err32
20250801;	131210;	1754034130.000;	       err32;	       err32
20250801;	131215;	1754034135.000;	       err32;	       err32
20250801;	131220;	1754034140.000;	       err32;	       err32
20250801;	131225;	1754034145.000;	       err32;	       err32
20250801;	131230;	1754034150.000;	       err32;	       err32
20250801;	131235;	1754034155.000;	       err32;	       err32
20250801;	131240;	1754034160.000;	       err32;	       err32
20250801;	131245;	1754034165.000;	       err32;	       err32
20250801;	131250;	1754034170.000;	       err32;	       err32
20250801;	131255;	1754034175.000;	       err32;	       err32
20250801;	131300;	1754034180.000;	       err32;	       err32
20250801;	131305;	1754034185.000;	        err8;	        err8
20250801;	131310;	1754034190.000;	        err9;	        err9
20250801;	131315;	1754034195.000;	       err32;	       err32
20250801;	131320;	1754034200.000;	       err32;	       err32
20250801;	131325;	1754034205.000;	       err32;	       err32
20250801;	131330;	1754034210.000;	       err32;	       err32
20250801;	131335;	1754034215.000;	       err32;	       err32
20250801;	131340;	1754034220.000;	       err32;	       err32
20250801;	131345;	1754034225.000;	       err32;	       err32
20250801;	131350;	1754034230.000;	       err32;	       err32
20250801;	131355;	1754034235.000;	       err32;	       err32
20250801;	131400;	1754034240.000;	       err32;	       err32
20250801;	131405;	1754034245.000;	       err32;	       err32
20250801;	131410;	1754034250.000;	       err32;	       err32
20250801;	131415;	1754034255.000;	       err32;	       err32
20250801;	131420;	1754034260.000;	       err32;	       err32
20250801;	131425;	1754034265.000;	       err32;	       err32
20250801;	131430;	1754034270.000;	       err32;	       err32
20250801;	131435;	1754034275.000;	       err32;	       err32
20250801;	131440;	1754034280.000;	       err32;	       err32
20250801;	131445;	1754034285.000;	       err32;	       err32
20250801;	131450;	1754034290.000;	       err32;	       err32
20250801;	131455;	1754034295.000;	       err32;	       err32
20250801;	131500;	1754034300.000;	       err32;	       err32
20250801;	131505;	1754034305.000;	       err32;	       err32
20250801;	131510;	1754034310.000;	       err32;	       err32
20250801;	131515;	1754034315.000;	       err32;	       err32
20250801;	131520;	1754034320.000;	       err32;	       err32
20250801;	131525;	1754034325.000;	       err32;	       err32
20250801;	131530;	1754034330.000;	       err32;	       err32
20250801;	131535;	1754034335.000;	       err32;	       err32
20250801;	131540;	1754034340.000;	       err32;	       err32
20250801;	131545;	1754034345.000;	       err32;	       err32
20250801;	131550;	1754034350.000;	       err32;	       err32
20250801;	131555;	1754034355.000;	       err32;	       err32
20250801;	131600;	1754034360.000;	       err32;	       err32
20250801;	131605;	1754034365.000;	       err32;	       err32
20250801;	131610;	1754034370.000;	       err32;	       err32
20250801;	131615;	1754034375.000;	       err32;	       err32
20250801;	131620;	1754034380.000;	       err32;	       err32
20250801;	131625;	1754034385.000;	       err32;	       err32
20250801;	131630;	1754034390.000;	       err32;	       err32
20250801;	131635;	1754034395.000;	       err32;	       err32
20250801;	131640;	1754034400.000;	       err32;	       err32
20250801;	131645;	1754034405.000;	       err32;	       err32
20250801;	131650;	1754034410.000;	       err32;	       err32
20250801;	131655;	1754034415.000;	       err32;	       err32
20250801;	131700;	1754034420.000;	       err32;	       err32
20250801;	131705;	1754034425.000;	       err32;	       err32
20250801;	131710;	1754034430.000;	       err32;	       err32
