#ies_format_version: 1.0
#file: 20250801_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	iec_in;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	iec_out;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	iec_in;	iec_out
20250801;	135235;	1754036555.000;	       err32;	       err32
20250801;	135240;	1754036560.000;	       err32;	       err32
20250801;	135245;	1754036565.000;	       err32;	       err32
20250801;	135250;	1754036570.000;	       err32;	       err32
20250801;	135255;	1754036575.000;	       err32;	       err32
20250801;	135300;	1754036580.000;	       err32;	       err32
20250801;	135305;	1754036585.000;	       err32;	       err32
20250801;	135310;	1754036590.000;	       err32;	       err32
20250801;	135315;	1754036595.000;	       err32;	       err32
20250801;	135320;	1754036600.000;	       err32;	       err32
20250801;	135325;	1754036605.000;	       err32;	       err32
20250801;	135330;	1754036610.000;	       err32;	       err32
20250801;	135335;	1754036615.000;	       err32;	       err32
20250801;	135340;	1754036620.000;	       err32;	       err32
20250801;	135345;	1754036625.000;	       err32;	       err32
20250801;	135350;	1754036630.000;	       err32;	       err32
20250801;	135355;	1754036635.000;	       err32;	       err32
20250801;	135400;	1754036640.000;	       err32;	       err32
20250801;	135405;	1754036645.000;	       err32;	       err32
20250801;	135410;	1754036650.000;	       err32;	       err32
20250801;	135415;	1754036655.000;	       err32;	       err32
20250801;	135420;	1754036660.000;	       err32;	       err32
20250801;	135425;	1754036665.000;	       err32;	       err32
20250801;	135430;	1754036670.000;	       err32;	       err32
20250801;	135435;	1754036675.000;	       err32;	       err32
20250801;	135440;	1754036680.000;	       err32;	       err32
20250801;	135445;	1754036685.000;	       err32;	       err32
20250801;	135450;	1754036690.000;	       err32;	       err32
20250801;	135455;	1754036695.000;	       err32;	       err32
20250801;	135500;	1754036700.000;	       err32;	       err32
20250801;	135505;	1754036705.000;	       err32;	       err32
20250801;	135510;	1754036710.000;	       err32;	       err32
20250801;	135515;	1754036715.000;	       err32;	       err32
20250801;	135520;	1754036720.000;	       err32;	       err32
20250801;	135525;	1754036725.000;	       err32;	       err32
20250801;	135530;	1754036730.000;	       err32;	       err32
20250801;	135535;	1754036735.000;	       err32;	       err32
20250801;	135540;	1754036740.000;	       err32;	       err32
20250801;	135545;	1754036745.000;	       err32;	       err32
20250801;	135550;	1754036750.000;	       err32;	       err32
20250801;	135555;	1754036755.000;	       err32;	       err32
20250801;	135600;	1754036760.000;	       err32;	       err32
20250801;	135605;	1754036765.000;	       err32;	       err32
20250801;	135610;	1754036770.000;	       err32;	       err32
20250801;	135615;	1754036775.000;	       err32;	       err32
20250801;	135620;	1754036780.000;	       err32;	       err32
20250801;	135625;	1754036785.000;	       err32;	       err32
20250801;	135630;	1754036790.000;	       err32;	       err32
20250801;	135635;	1754036795.000;	       err32;	       err32
20250801;	135640;	1754036800.000;	       err32;	       err32
20250801;	135645;	1754036805.000;	       err32;	       err32
20250801;	135650;	1754036810.000;	       err32;	       err32
20250801;	135655;	1754036815.000;	       err32;	       err32
20250801;	135700;	1754036820.000;	       err32;	       err32
20250801;	135705;	1754036825.000;	       err32;	       err32
20250801;	135710;	1754036830.000;	       err32;	       err32
20250801;	135715;	1754036835.000;	       err32;	       err32
20250801;	135720;	1754036840.000;	       err32;	       err32
20250801;	135725;	1754036845.000;	       err32;	       err32
20250801;	135730;	1754036850.000;	       err32;	       err32
20250801;	135735;	1754036855.000;	       err32;	       err32
20250801;	135740;	1754036860.000;	       err32;	       err32
20250801;	135745;	1754036865.000;	       err32;	       err32
20250801;	135750;	1754036870.000;	       err32;	       err32
20250801;	135755;	1754036875.000;	       err32;	       err32
20250801;	135800;	1754036880.000;	       err32;	       err32
20250801;	135805;	1754036885.000;	       err32;	       err32
20250801;	135810;	1754036890.000;	       err32;	       err32
20250801;	135815;	1754036895.000;	       err32;	       err32
20250801;	135820;	1754036900.000;	       err32;	       err32
20250801;	135825;	1754036905.000;	       err32;	       err32
20250801;	135830;	1754036910.000;	       err32;	       err32
20250801;	135835;	1754036915.000;	       err32;	       err32
20250801;	135840;	1754036920.000;	       err32;	       err32
20250801;	135845;	1754036925.000;	       err32;	       err32
20250801;	135850;	1754036930.000;	       err32;	       err32
20250801;	135855;	1754036935.000;	       err32;	       err32
20250801;	135900;	1754036940.000;	       err32;	       err32
20250801;	135905;	1754036945.000;	       err32;	       err32
20250801;	135910;	1754036950.000;	       err32;	       err32
20250801;	135915;	1754036955.000;	       err32;	       err32
20250801;	135920;	1754036960.000;	       err32;	       err32
20250801;	135925;	1754036965.000;	       err32;	       err32
20250801;	135930;	1754036970.000;	       err32;	       err32
20250801;	135935;	1754036975.000;	       err32;	       err32
20250801;	135940;	1754036980.000;	       err32;	       err32
20250801;	135945;	1754036985.000;	       err32;	       err32
20250801;	135950;	1754036990.000;	       err32;	       err32
20250801;	135955;	1754036995.000;	       err32;	       err32
20250801;	140000;	1754037000.000;	       err32;	       err32
20250801;	140005;	1754037005.000;	       err32;	       err32
20250801;	140010;	1754037010.000;	       err32;	       err32
20250801;	140015;	1754037015.000;	       err32;	       err32
20250801;	140020;	1754037020.000;	       err32;	       err32
20250801;	140025;	1754037025.000;	       err32;	       err32
20250801;	140030;	1754037030.000;	       err32;	       err32
20250801;	140035;	1754037035.000;	       err32;	       err32
20250801;	140040;	1754037040.000;	       err32;	       err32
20250801;	140045;	1754037045.000;	       err32;	       err32
20250801;	140050;	1754037050.000;	       err32;	       err32
20250801;	140055;	1754037055.000;	       err32;	       err32
20250801;	140100;	1754037060.000;	       err32;	       err32
20250801;	140105;	1754037065.000;	       err32;	       err32
20250801;	140110;	1754037070.000;	       err32;	       err32
20250801;	140115;	1754037075.000;	       err32;	       err32
20250801;	140120;	1754037080.000;	       err32;	       err32
20250801;	140125;	1754037085.000;	       err32;	       err32
20250801;	140130;	1754037090.000;	       err32;	       err32
20250801;	140135;	1754037095.000;	       err32;	       err32
20250801;	140140;	1754037100.000;	       err32;	       err32
20250801;	140145;	1754037105.000;	       err32;	       err32
20250801;	140150;	1754037110.000;	       err32;	       err32
20250801;	140155;	1754037115.000;	       err32;	       err32
20250801;	140200;	1754037120.000;	       err32;	       err32
20250801;	140205;	1754037125.000;	       err32;	       err32
20250801;	140210;	1754037130.000;	       err32;	       err32
20250801;	140215;	1754037135.000;	       err32;	       err32
20250801;	140220;	1754037140.000;	       err32;	       err32
20250801;	140225;	1754037145.000;	       err32;	       err32
20250801;	140230;	1754037150.000;	       err32;	       err32
20250801;	140235;	1754037155.000;	       err32;	       err32
20250801;	140240;	1754037160.000;	       err32;	       err32
20250801;	140245;	1754037165.000;	       err32;	       err32
20250801;	140250;	1754037170.000;	       err32;	       err32
20250801;	140255;	1754037175.000;	       err32;	       err32
20250801;	140300;	1754037180.000;	       err32;	       err32
20250801;	140305;	1754037185.000;	       err32;	       err32
20250801;	140310;	1754037190.000;	       err32;	       err32
20250801;	140315;	1754037195.000;	       err32;	       err32
20250801;	140320;	1754037200.000;	       err32;	       err32
20250801;	140325;	1754037205.000;	       err32;	       err32
20250801;	140330;	1754037210.000;	       err32;	       err32
20250801;	140335;	1754037215.000;	       err32;	       err32
20250801;	140340;	1754037220.000;	       err32;	       err32
20250801;	140345;	1754037225.000;	       err32;	       err32
20250801;	140350;	1754037230.000;	       err32;	       err32
20250801;	140355;	1754037235.000;	       err32;	       err32
20250801;	140400;	1754037240.000;	       err32;	       err32
20250801;	140405;	1754037245.000;	       err32;	       err32
20250801;	140410;	1754037250.000;	       err32;	       err32
20250801;	140415;	1754037255.000;	       err32;	       err32
20250801;	140420;	1754037260.000;	       err32;	       err32
20250801;	140425;	1754037265.000;	       err32;	       err32
20250801;	140430;	1754037270.000;	       err32;	       err32
20250801;	140435;	1754037275.000;	       err32;	       err32
20250801;	140440;	1754037280.000;	       err32;	       err32
20250801;	140445;	1754037285.000;	       err32;	       err32
20250801;	140450;	1754037290.000;	       err32;	       err32
20250801;	140455;	1754037295.000;	       err32;	       err32
20250801;	140500;	1754037300.000;	       err32;	       err32
20250801;	140505;	1754037305.000;	       err32;	       err32
20250801;	140510;	1754037310.000;	       err32;	       err32
20250801;	140515;	1754037315.000;	       err32;	       err32
20250801;	140520;	1754037320.000;	       err32;	       err32
20250801;	140525;	1754037325.000;	       err32;	       err32
20250801;	140530;	1754037330.000;	       err32;	       err32
20250801;	140535;	1754037335.000;	       err32;	       err32
20250801;	140540;	1754037340.000;	       err32;	       err32
20250801;	140545;	1754037345.000;	       err32;	       err32
20250801;	140550;	1754037350.000;	       err32;	       err32
20250801;	140555;	1754037355.000;	       err32;	       err32
20250801;	140600;	1754037360.000;	       err32;	       err32
20250801;	140605;	1754037365.000;	       err32;	       err32
20250801;	140610;	1754037370.000;	       err32;	       err32
20250801;	140615;	1754037375.000;	       err32;	       err32
20250801;	140620;	1754037380.000;	       err32;	       err32
20250801;	140625;	1754037385.000;	       err32;	       err32
20250801;	140630;	1754037390.000;	       err32;	       err32
20250801;	140635;	1754037395.000;	       err32;	       err32
20250801;	140640;	1754037400.000;	       err32;	       err32
20250801;	140645;	1754037405.000;	       err32;	       err32
20250801;	140650;	1754037410.000;	       err32;	       err32
20250801;	140655;	1754037415.000;	       err32;	       err32
20250801;	140700;	1754037420.000;	       err32;	       err32
20250801;	140705;	1754037425.000;	       err32;	       err32
20250801;	140710;	1754037430.000;	       err32;	       err32
20250801;	140715;	1754037435.000;	       err32;	       err32
20250801;	140720;	1754037440.000;	       err32;	       err32
20250801;	140725;	1754037445.000;	       err32;	       err32
20250801;	140730;	1754037450.000;	       err32;	       err32
20250801;	140735;	1754037455.000;	       err32;	       err32
20250801;	140740;	1754037460.000;	       err32;	       err32
20250801;	140745;	1754037465.000;	       err32;	       err32
20250801;	140750;	1754037470.000;	       err32;	       err32
20250801;	140755;	1754037475.000;	       err32;	       err32
20250801;	140800;	1754037480.000;	       err32;	       err32
20250801;	140805;	1754037485.000;	       err32;	       err32
20250801;	140810;	1754037490.000;	       err32;	       err32
20250801;	140815;	1754037495.000;	       err32;	       err32
20250801;	140820;	1754037500.000;	       err32;	       err32
20250801;	140825;	1754037505.000;	       err32;	       err32
20250801;	140830;	1754037510.000;	       err32;	       err32
20250801;	140835;	1754037515.000;	       err32;	       err32
20250801;	140840;	1754037520.000;	       err32;	       err32
20250801;	140845;	1754037525.000;	       err32;	       err32
20250801;	140850;	1754037530.000;	       err32;	       err32
20250801;	140855;	1754037535.000;	       err32;	       err32
20250801;	140900;	1754037540.000;	       err32;	       err32
20250801;	140905;	1754037545.000;	       err32;	       err32
20250801;	140910;	1754037550.000;	       err32;	       err32
20250801;	140915;	1754037555.000;	       err32;	       err32
20250801;	140920;	1754037560.000;	       err32;	       err32
20250801;	140925;	1754037565.000;	       err32;	       err32
20250801;	140930;	1754037570.000;	       err32;	       err32
20250801;	140935;	1754037575.000;	       err32;	       err32
20250801;	140940;	1754037580.000;	       err32;	       err32
20250801;	140945;	1754037585.000;	       err32;	       err32
20250801;	140950;	1754037590.000;	       err32;	       err32
20250801;	140955;	1754037595.000;	       err32;	       err32
20250801;	141000;	1754037600.000;	       err32;	       err32
20250801;	141005;	1754037605.000;	       err32;	       err32
20250801;	141010;	1754037610.000;	       err32;	       err32
20250801;	141015;	1754037615.000;	       err32;	       err32
20250801;	141020;	1754037620.000;	       err32;	       err32
20250801;	141025;	1754037625.000;	       err32;	       err32
20250801;	141030;	1754037630.000;	       err32;	       err32
20250801;	141035;	1754037635.000;	       err32;	       err32
20250801;	141040;	1754037640.000;	       err32;	       err32
20250801;	141045;	1754037645.000;	       err32;	       err32
20250801;	141050;	1754037650.000;	       err32;	       err32
20250801;	141055;	1754037655.000;	       err32;	       err32
20250801;	141100;	1754037660.000;	       err32;	       err32
20250801;	141105;	1754037665.000;	       err32;	       err32
20250801;	141110;	1754037670.000;	       err32;	       err32
20250801;	141115;	1754037675.000;	       err32;	       err32
20250801;	141120;	1754037680.000;	       err32;	       err32
20250801;	141125;	1754037685.000;	       err32;	       err32
20250801;	141130;	1754037690.000;	       err32;	       err32
20250801;	141135;	1754037695.000;	       err32;	       err32
20250801;	141140;	1754037700.000;	       err32;	       err32
20250801;	141145;	1754037705.000;	       err32;	       err32
20250801;	141150;	1754037710.000;	       err32;	       err32
20250801;	141155;	1754037715.000;	       err32;	       err32
20250801;	141200;	1754037720.000;	       err32;	       err32
20250801;	141205;	1754037725.000;	       err32;	       err32
20250801;	141210;	1754037730.000;	       err32;	       err32
20250801;	141215;	1754037735.000;	       err32;	       err32
20250801;	141220;	1754037740.000;	       err32;	       err32
20250801;	141225;	1754037745.000;	       err32;	       err32
20250801;	141230;	1754037750.000;	       err32;	       err32
20250801;	141235;	1754037755.000;	       err32;	       err32
20250801;	141240;	1754037760.000;	       err32;	       err32
20250801;	141245;	1754037765.000;	       err32;	       err32
20250801;	141250;	1754037770.000;	       err32;	       err32
20250801;	141255;	1754037775.000;	       err32;	       err32
20250801;	141300;	1754037780.000;	       err32;	       err32
20250801;	141305;	1754037785.000;	       err32;	       err32
20250801;	141310;	1754037790.000;	       err32;	       err32
20250801;	141315;	1754037795.000;	       err32;	       err32
20250801;	141320;	1754037800.000;	       err32;	       err32
20250801;	141325;	1754037805.000;	       err32;	       err32
20250801;	141330;	1754037810.000;	       err32;	       err32
20250801;	141335;	1754037815.000;	       err32;	       err32
20250801;	141340;	1754037820.000;	       err32;	       err32
20250801;	141345;	1754037825.000;	       err32;	       err32
20250801;	141350;	1754037830.000;	       err32;	       err32
20250801;	141355;	1754037835.000;	       err32;	       err32
20250801;	141400;	1754037840.000;	       err32;	       err32
20250801;	141405;	1754037845.000;	       err32;	       err32
20250801;	141410;	1754037850.000;	       err32;	       err32
20250801;	141415;	1754037855.000;	       err32;	       err32
20250801;	141420;	1754037860.000;	       err32;	       err32
20250801;	141425;	1754037865.000;	       err32;	       err32
20250801;	141430;	1754037870.000;	       err32;	       err32
20250801;	141435;	1754037875.000;	       err32;	       err32
20250801;	141440;	1754037880.000;	       err32;	       err32
20250801;	141445;	1754037885.000;	       err32;	       err32
20250801;	141450;	1754037890.000;	       err32;	       err32
20250801;	141455;	1754037895.000;	       err32;	       err32
20250801;	141500;	1754037900.000;	       err32;	       err32
20250801;	141505;	1754037905.000;	       err32;	       err32
20250801;	141510;	1754037910.000;	       err32;	       err32
20250801;	141515;	1754037915.000;	       err32;	       err32
20250801;	141520;	1754037920.000;	       err32;	       err32
20250801;	141525;	1754037925.000;	       err32;	       err32
20250801;	141530;	1754037930.000;	       err32;	       err32
20250801;	141535;	1754037935.000;	       err32;	       err32
20250801;	141540;	1754037940.000;	       err32;	       err32
20250801;	141545;	1754037945.000;	       err32;	       err32
20250801;	141550;	1754037950.000;	       err32;	       err32
20250801;	141555;	1754037955.000;	       err32;	       err32
20250801;	141600;	1754037960.000;	       err32;	       err32
20250801;	141605;	1754037965.000;	       err32;	       err32
20250801;	141610;	1754037970.000;	       err32;	       err32
20250801;	141615;	1754037975.000;	       err32;	       err32
20250801;	141620;	1754037980.000;	       err32;	       err32
20250801;	141625;	1754037985.000;	       err32;	       err32
20250801;	141630;	1754037990.000;	       err32;	       err32
20250801;	141635;	1754037995.000;	       err32;	       err32
20250801;	141640;	1754038000.000;	       err32;	       err32
20250801;	141645;	1754038005.000;	       err32;	       err32
20250801;	141650;	1754038010.000;	       err32;	       err32
20250801;	141655;	1754038015.000;	       err32;	       err32
20250801;	141700;	1754038020.000;	       err32;	       err32
20250801;	141705;	1754038025.000;	       err32;	       err32
20250801;	141710;	1754038030.000;	       err32;	       err32
20250801;	141715;	1754038035.000;	       err32;	       err32
20250801;	141720;	1754038040.000;	       err32;	       err32
20250801;	141725;	1754038045.000;	       err32;	       err32
20250801;	141730;	1754038050.000;	       err32;	       err32
20250801;	141735;	1754038055.000;	       err32;	       err32
20250801;	141740;	1754038060.000;	       err32;	       err32
20250801;	141745;	1754038065.000;	       err32;	       err32
20250801;	141750;	1754038070.000;	       err32;	       err32
20250801;	141755;	1754038075.000;	       err32;	       err32
20250801;	141800;	1754038080.000;	       err32;	       err32
20250801;	141805;	1754038085.000;	       err32;	       err32
20250801;	141810;	1754038090.000;	       err32;	       err32
20250801;	141815;	1754038095.000;	       err32;	       err32
20250801;	141820;	1754038100.000;	       err32;	       err32
20250801;	141825;	1754038105.000;	       err32;	       err32
20250801;	141830;	1754038110.000;	       err32;	       err32
20250801;	141835;	1754038115.000;	       err32;	       err32
20250801;	141840;	1754038120.000;	       err32;	       err32
20250801;	141845;	1754038125.000;	       err32;	       err32
20250801;	141850;	1754038130.000;	       err32;	       err32
20250801;	141855;	1754038135.000;	       err32;	       err32
20250801;	141900;	1754038140.000;	       err32;	       err32
20250801;	141905;	1754038145.000;	       err32;	       err32
20250801;	141910;	1754038150.000;	       err32;	       err32
20250801;	141915;	1754038155.000;	       err32;	       err32
20250801;	141920;	1754038160.000;	       err32;	       err32
20250801;	141925;	1754038165.000;	       err32;	       err32
20250801;	141930;	1754038170.000;	       err32;	       err32
20250801;	141935;	1754038175.000;	       err32;	       err32
20250801;	141940;	1754038180.000;	       err32;	       err32
20250801;	141945;	1754038185.000;	       err32;	       err32
20250801;	141950;	1754038190.000;	       err32;	       err32
20250801;	141955;	1754038195.000;	       err32;	       err32
20250801;	142000;	1754038200.000;	       err32;	       err32
20250801;	142005;	1754038205.000;	       err32;	       err32
20250801;	142010;	1754038210.000;	       err32;	       err32
20250801;	142015;	1754038215.000;	       err32;	       err32
20250801;	142020;	1754038220.000;	       err32;	       err32
20250801;	142025;	1754038225.000;	       err32;	       err32
20250801;	142030;	1754038230.000;	       err32;	       err32
20250801;	142035;	1754038235.000;	       err32;	       err32
20250801;	142040;	1754038240.000;	       err32;	       err32
20250801;	142045;	1754038245.000;	       err32;	       err32
20250801;	142050;	1754038250.000;	       err32;	       err32
20250801;	142055;	1754038255.000;	       err32;	       err32
20250801;	142100;	1754038260.000;	       err32;	       err32
20250801;	142105;	1754038265.000;	       err32;	       err32
20250801;	142110;	1754038270.000;	       err32;	       err32
20250801;	142115;	1754038275.000;	       err32;	       err32
20250801;	142120;	1754038280.000;	       err32;	       err32
20250801;	142125;	1754038285.000;	       err32;	       err32
20250801;	142130;	1754038290.000;	       err32;	       err32
20250801;	142135;	1754038295.000;	       err32;	       err32
20250801;	142140;	1754038300.000;	       err32;	       err32
20250801;	142145;	1754038305.000;	       err32;	       err32
20250801;	142150;	1754038310.000;	       err32;	       err32
20250801;	142155;	1754038315.000;	       err32;	       err32
20250801;	142200;	1754038320.000;	       err32;	       err32
20250801;	142205;	1754038325.000;	       err32;	       err32
20250801;	142210;	1754038330.000;	       err32;	       err32
20250801;	142215;	1754038335.000;	       err32;	       err32
20250801;	142220;	1754038340.000;	       err32;	       err32
20250801;	142225;	1754038345.000;	       err32;	       err32
20250801;	142230;	1754038350.000;	       err32;	       err32
20250801;	142235;	1754038355.000;	       err32;	       err32
20250801;	142240;	1754038360.000;	       err32;	       err32
20250801;	142245;	1754038365.000;	       err32;	       err32
20250801;	142250;	1754038370.000;	       err32;	       err32
20250801;	142255;	1754038375.000;	       err32;	       err32
20250801;	142300;	1754038380.000;	       err32;	       err32
20250801;	142305;	1754038385.000;	       err32;	       err32
20250801;	142310;	1754038390.000;	       err32;	       err32
20250801;	142315;	1754038395.000;	       err32;	       err32
20250801;	142320;	1754038400.000;	       err32;	       err32
20250801;	142325;	1754038405.000;	       err32;	       err32
20250801;	142330;	1754038410.000;	       err32;	       err32
20250801;	142335;	1754038415.000;	       err32;	       err32
20250801;	142340;	1754038420.000;	       err32;	       err32
20250801;	142345;	1754038425.000;	       err32;	       err32
20250801;	142350;	1754038430.000;	       err32;	       err32
20250801;	142355;	1754038435.000;	       err32;	       err32
20250801;	142400;	1754038440.000;	       err32;	       err32
20250801;	142405;	1754038445.000;	       err32;	       err32
20250801;	142410;	1754038450.000;	       err32;	       err32
20250801;	142415;	1754038455.000;	       err32;	       err32
20250801;	142420;	1754038460.000;	       err32;	       err32
20250801;	142425;	1754038465.000;	       err32;	       err32
20250801;	142430;	1754038470.000;	       err32;	       err32
20250801;	142435;	1754038475.000;	       err32;	       err32
20250801;	142440;	1754038480.000;	       err32;	       err32
20250801;	142445;	1754038485.000;	       err32;	       err32
20250801;	142450;	1754038490.000;	       err32;	       err32
20250801;	142455;	1754038495.000;	       err32;	       err32
20250801;	142500;	1754038500.000;	       err32;	       err32
20250801;	142505;	1754038505.000;	       err32;	       err32
20250801;	142510;	1754038510.000;	       err32;	       err32
20250801;	142515;	1754038515.000;	       err32;	       err32
20250801;	142520;	1754038520.000;	       err32;	       err32
20250801;	142525;	1754038525.000;	       err32;	       err32
20250801;	142530;	1754038530.000;	       err32;	       err32
20250801;	142535;	1754038535.000;	       err32;	       err32
20250801;	142540;	1754038540.000;	       err32;	       err32
20250801;	142545;	1754038545.000;	       err32;	       err32
20250801;	142550;	1754038550.000;	       err32;	       err32
20250801;	142555;	1754038555.000;	       err32;	       err32
20250801;	142600;	1754038560.000;	       err32;	       err32
20250801;	142605;	1754038565.000;	       err32;	       err32
20250801;	142610;	1754038570.000;	       err32;	       err32
20250801;	142615;	1754038575.000;	       err32;	       err32
20250801;	142620;	1754038580.000;	       err32;	       err32
20250801;	142625;	1754038585.000;	       err32;	       err32
20250801;	142630;	1754038590.000;	       err32;	       err32
20250801;	142635;	1754038595.000;	       err32;	       err32
20250801;	142640;	1754038600.000;	       err32;	       err32
20250801;	142645;	1754038605.000;	       err32;	       err32
20250801;	142650;	1754038610.000;	       err32;	       err32
20250801;	142655;	1754038615.000;	       err32;	       err32
20250801;	142700;	1754038620.000;	       err32;	       err32
20250801;	142705;	1754038625.000;	       err32;	       err32
20250801;	142710;	1754038630.000;	       err32;	       err32
20250801;	142715;	1754038635.000;	       err32;	       err32
20250801;	142720;	1754038640.000;	       err32;	       err32
20250801;	142725;	1754038645.000;	       err32;	       err32
20250801;	142730;	1754038650.000;	       err32;	       err32
20250801;	142735;	1754038655.000;	       err32;	       err32
20250801;	142740;	1754038660.000;	       err32;	       err32
20250801;	142745;	1754038665.000;	       err32;	       err32
20250801;	142750;	1754038670.000;	       err32;	       err32
20250801;	142755;	1754038675.000;	       err32;	       err32
20250801;	142800;	1754038680.000;	       err32;	       err32
20250801;	142805;	1754038685.000;	       err32;	       err32
20250801;	142810;	1754038690.000;	       err32;	       err32
20250801;	142815;	1754038695.000;	       err32;	       err32
20250801;	142820;	1754038700.000;	       err32;	       err32
20250801;	142825;	1754038705.000;	       err32;	       err32
20250801;	142830;	1754038710.000;	       err32;	       err32
20250801;	142835;	1754038715.000;	       err32;	       err32
20250801;	142840;	1754038720.000;	       err32;	       err32
20250801;	142845;	1754038725.000;	       err32;	       err32
20250801;	142850;	1754038730.000;	       err32;	       err32
20250801;	142855;	1754038735.000;	       err32;	       err32
20250801;	142900;	1754038740.000;	       err32;	       err32
20250801;	142905;	1754038745.000;	       err32;	       err32
20250801;	142910;	1754038750.000;	       err32;	       err32
20250801;	142915;	1754038755.000;	       err32;	       err32
20250801;	142920;	1754038760.000;	       err32;	       err32
20250801;	142925;	1754038765.000;	       err32;	       err32
20250801;	142930;	1754038770.000;	       err32;	       err32
20250801;	142935;	1754038775.000;	       err32;	       err32
20250801;	142940;	1754038780.000;	       err32;	       err32
20250801;	142945;	1754038785.000;	       err32;	       err32
20250801;	142950;	1754038790.000;	       err32;	       err32
20250801;	142955;	1754038795.000;	       err32;	       err32
20250801;	143000;	1754038800.000;	       err32;	       err32
20250801;	143005;	1754038805.000;	       err32;	       err32
20250801;	143010;	1754038810.000;	       err32;	       err32
20250801;	143015;	1754038815.000;	       err32;	       err32
20250801;	143020;	1754038820.000;	       err32;	       err32
20250801;	143025;	1754038825.000;	       err32;	       err32
20250801;	143030;	1754038830.000;	       err32;	       err32
20250801;	143035;	1754038835.000;	       err32;	       err32
20250801;	143040;	1754038840.000;	       err32;	       err32
20250801;	143045;	1754038845.000;	       err32;	       err32
20250801;	143050;	1754038850.000;	       err32;	       err32
20250801;	143055;	1754038855.000;	       err32;	       err32
20250801;	143100;	1754038860.000;	       err32;	       err32
20250801;	143105;	1754038865.000;	       err32;	       err32
20250801;	143110;	1754038870.000;	       err32;	       err32
20250801;	143115;	1754038875.000;	       err32;	       err32
20250801;	143120;	1754038880.000;	       err32;	       err32
20250801;	143125;	1754038885.000;	       err32;	       err32
20250801;	143130;	1754038890.000;	       err32;	       err32
20250801;	143135;	1754038895.000;	       err32;	       err32
20250801;	143140;	1754038900.000;	       err32;	       err32
20250801;	143145;	1754038905.000;	       err32;	       err32
20250801;	143150;	1754038910.000;	       err32;	       err32
20250801;	143155;	1754038915.000;	       err32;	       err32
20250801;	143200;	1754038920.000;	       err32;	       err32
20250801;	143205;	1754038925.000;	       err32;	       err32
20250801;	143210;	1754038930.000;	       err32;	       err32
20250801;	143215;	1754038935.000;	       err32;	       err32
20250801;	143220;	1754038940.000;	       err32;	       err32
20250801;	143225;	1754038945.000;	       err32;	       err32
20250801;	143230;	1754038950.000;	       err32;	       err32
20250801;	143235;	1754038955.000;	       err32;	       err32
20250801;	143240;	1754038960.000;	       err32;	       err32
20250801;	143245;	1754038965.000;	       err32;	       err32
20250801;	143250;	1754038970.000;	       err32;	       err32
20250801;	143255;	1754038975.000;	       err32;	       err32
20250801;	143300;	1754038980.000;	       err32;	       err32
20250801;	143305;	1754038985.000;	       err32;	       err32
20250801;	143310;	1754038990.000;	       err32;	       err32
20250801;	143315;	1754038995.000;	       err32;	       err32
20250801;	143320;	1754039000.000;	       err32;	       err32
20250801;	143325;	1754039005.000;	       err32;	       err32
20250801;	143330;	1754039010.000;	       err32;	       err32
20250801;	143335;	1754039015.000;	       err32;	       err32
20250801;	143340;	1754039020.000;	       err32;	       err32
20250801;	143345;	1754039025.000;	       err32;	       err32
20250801;	143350;	1754039030.000;	       err32;	       err32
20250801;	143355;	1754039035.000;	       err32;	       err32
20250801;	143400;	1754039040.000;	       err32;	       err32
20250801;	143405;	1754039045.000;	       err32;	       err32
20250801;	143410;	1754039050.000;	       err32;	       err32
20250801;	143415;	1754039055.000;	       err32;	       err32
20250801;	143420;	1754039060.000;	       err32;	       err32
20250801;	143425;	1754039065.000;	       err32;	       err32
20250801;	143430;	1754039070.000;	       err32;	       err32
20250801;	143435;	1754039075.000;	       err32;	       err32
20250801;	143440;	1754039080.000;	       err32;	       err32
20250801;	143445;	1754039085.000;	       err32;	       err32
20250801;	143450;	1754039090.000;	       err32;	       err32
20250801;	143455;	1754039095.000;	       err32;	       err32
20250801;	143500;	1754039100.000;	       err32;	       err32
20250801;	143505;	1754039105.000;	       err32;	       err32
20250801;	143510;	1754039110.000;	       err32;	       err32
20250801;	143515;	1754039115.000;	       err32;	       err32
20250801;	143520;	1754039120.000;	       err32;	       err32
20250801;	143525;	1754039125.000;	       err32;	       err32
20250801;	143530;	1754039130.000;	       err32;	       err32
20250801;	143535;	1754039135.000;	       err32;	       err32
20250801;	143540;	1754039140.000;	       err32;	       err32
20250801;	143545;	1754039145.000;	       err32;	       err32
20250801;	143550;	1754039150.000;	       err32;	       err32
20250801;	143555;	1754039155.000;	       err32;	       err32
20250801;	143600;	1754039160.000;	       err32;	       err32
20250801;	143605;	1754039165.000;	       err32;	       err32
20250801;	143610;	1754039170.000;	       err32;	       err32
